DGP,T,J,Method,Row,Int,beta_p,beta_w,sigma,xi_mean_abs_error,xi_sd_error,Prob_signal,Prob_noise,FailRate
DGP4,25,15,BLP+CostIV,Bias,0.11774826882994127,0.3629084879392823,0.016127925297210483,-1.2520353669319186,0.27429845366666417,0.356830133486245,nan,nan,0.0
DGP4,25,15,BLP+CostIV,SD,0.1495451503677491,0.15403212291988028,0.1006165821862244,0.421307958884922,,,,,0.0
DGP4,25,15,BLP-NoCostIV,Bias,0.2106633599165551,-0.4970480297872938,0.01911626579743248,-0.21799999999999997,0.5029049634879812,0.6105619624192569,nan,nan,0.0
DGP4,25,15,BLP-NoCostIV,SD,0.23029923006827302,1.1985903429918985,0.15609481623980034,2.0481145801281073,,,,,0.0
DGP4,25,15,Shrinkage,Bias,-0.06877894593320169,-0.062072109779680015,0.100396931198433,-0.07910256410256404,0.1743513149395613,0.15469465876036625,0.339937264705196,nan,0.0
DGP4,25,15,Shrinkage,SD,0.19390888398623077,0.06013571524894455,0.13129254663096385,0.11515506209625978,,,,,0.0
