dgp,T,J,method,metric,value
DGP4,25,15,BLP+CostIV,int_bias,0.11774826882994127
DGP4,25,15,BLP+CostIV,int_sd,0.1495451503677491
DGP4,25,15,BLP+CostIV,beta_p_bias,0.3629084879392823
DGP4,25,15,BLP+CostIV,beta_p_sd,0.15403212291988028
DGP4,25,15,BLP+CostIV,beta_w_bias,0.016127925297210483
DGP4,25,15,BLP+CostIV,beta_w_sd,0.1006165821862244
DGP4,25,15,BLP+CostIV,sigma_bias,-1.2520353669319186
DGP4,25,15,BLP+CostIV,sigma_sd,0.421307958884922
DGP4,25,15,BLP+CostIV,xi_bias_abs,0.27429845366666417
DGP4,25,15,BLP+CostIV,xi_sd,0.356830133486245
DGP4,25,15,BLP+CostIV,prob_signal,nan
DGP4,25,15,BLP+CostIV,prob_noise,nan
DGP4,25,15,BLP+CostIV,fail_rate,0.0
DGP4,25,15,BLP-NoCostIV,int_bias,0.2106633599165551
DGP4,25,15,BLP-NoCostIV,int_sd,0.23029923006827302
DGP4,25,15,BLP-NoCostIV,beta_p_bias,-0.4970480297872938
DGP4,25,15,BLP-NoCostIV,beta_p_sd,1.1985903429918985
DGP4,25,15,BLP-NoCostIV,beta_w_bias,0.01911626579743248
DGP4,25,15,BLP-NoCostIV,beta_w_sd,0.15609481623980034
DGP4,25,15,BLP-NoCostIV,sigma_bias,-0.21799999999999997
DGP4,25,15,BLP-NoCostIV,sigma_sd,2.0481145801281073
DGP4,25,15,BLP-NoCostIV,xi_bias_abs,0.5029049634879812
DGP4,25,15,BLP-NoCostIV,xi_sd,0.6105619624192569
DGP4,25,15,BLP-NoCostIV,prob_signal,nan
DGP4,25,15,BLP-NoCostIV,prob_noise,nan
DGP4,25,15,BLP-NoCostIV,fail_rate,0.0
DGP4,25,15,Shrinkage,int_bias,-0.06877894593320169
DGP4,25,15,Shrinkage,int_sd,0.19390888398623077
DGP4,25,15,Shrinkage,beta_p_bias,-0.062072109779680015
DGP4,25,15,Shrinkage,beta_p_sd,0.06013571524894455
DGP4,25,15,Shrinkage,beta_w_bias,0.100396931198433
DGP4,25,15,Shrinkage,beta_w_sd,0.13129254663096385
DGP4,25,15,Shrinkage,sigma_bias,-0.07910256410256404
DGP4,25,15,Shrinkage,sigma_sd,0.11515506209625978
DGP4,25,15,Shrinkage,xi_bias_abs,0.1743513149395613
DGP4,25,15,Shrinkage,xi_sd,0.15469465876036625
DGP4,25,15,Shrinkage,prob_signal,0.339937264705196
DGP4,25,15,Shrinkage,prob_noise,nan
DGP4,25,15,Shrinkage,fail_rate,0.0
