DGP,T,J,Method,Row,Int,beta_p,beta_w,sigma,xi_mean_abs_error,xi_sd_error,Prob_signal,Prob_noise,FailRate
DGP1,25,15,BLP+CostIV,Bias,0.22637851951225518,0.387433419218042,-0.06282310067331916,-1.2471794871794872,0.35027228880762273,0.37246759582417227,nan,nan,0.0
DGP1,25,15,BLP+CostIV,SD,0.22911585474342738,0.10379904381055222,0.1432595742489316,0.341464333213743,,,,,0.0
DGP1,25,15,BLP-NoCostIV,Bias,0.30159493390047726,-0.2565657171517244,-0.03480499420396426,-0.6312060123784262,0.5081159061709879,0.5567449032575509,nan,nan,0.0
DGP1,25,15,BLP-NoCostIV,SD,0.22667553951939942,1.0372672791432684,0.14779960955006227,1.782369829597283,,,,,0.0
DGP1,25,15,Shrinkage,Bias,0.07668127087177506,-0.17978341963316405,0.023309763606782642,-0.015384615384615396,0.1414362907480267,0.17807278941049315,0.9863286978202839,0.3461323807607059,0.0
DGP1,25,15,Shrinkage,SD,0.07508913913800162,0.06881684302281671,0.05000561383770009,0.1366063258441835,,,,,0.0
