dgp,T,J,method,metric,value
DGP1,25,15,BLP+CostIV,int_bias,0.22637851951225518
DGP1,25,15,BLP+CostIV,int_sd,0.22911585474342738
DGP1,25,15,BLP+CostIV,beta_p_bias,0.387433419218042
DGP1,25,15,BLP+CostIV,beta_p_sd,0.10379904381055222
DGP1,25,15,BLP+CostIV,beta_w_bias,-0.06282310067331916
DGP1,25,15,BLP+CostIV,beta_w_sd,0.1432595742489316
DGP1,25,15,BLP+CostIV,sigma_bias,-1.2471794871794872
DGP1,25,15,BLP+CostIV,sigma_sd,0.341464333213743
DGP1,25,15,BLP+CostIV,xi_bias_abs,0.35027228880762273
DGP1,25,15,BLP+CostIV,xi_sd,0.37246759582417227
DGP1,25,15,BLP+CostIV,prob_signal,nan
DGP1,25,15,BLP+CostIV,prob_noise,nan
DGP1,25,15,BLP+CostIV,fail_rate,0.0
DGP1,25,15,BLP-NoCostIV,int_bias,0.30159493390047726
DGP1,25,15,BLP-NoCostIV,int_sd,0.22667553951939942
DGP1,25,15,BLP-NoCostIV,beta_p_bias,-0.2565657171517244
DGP1,25,15,BLP-NoCostIV,beta_p_sd,1.0372672791432684
DGP1,25,15,BLP-NoCostIV,beta_w_bias,-0.03480499420396426
DGP1,25,15,BLP-NoCostIV,beta_w_sd,0.14779960955006227
DGP1,25,15,BLP-NoCostIV,sigma_bias,-0.6312060123784262
DGP1,25,15,BLP-NoCostIV,sigma_sd,1.782369829597283
DGP1,25,15,BLP-NoCostIV,xi_bias_abs,0.5081159061709879
DGP1,25,15,BLP-NoCostIV,xi_sd,0.5567449032575509
DGP1,25,15,BLP-NoCostIV,prob_signal,nan
DGP1,25,15,BLP-NoCostIV,prob_noise,nan
DGP1,25,15,BLP-NoCostIV,fail_rate,0.0
DGP1,25,15,Shrinkage,int_bias,0.07668127087177506
DGP1,25,15,Shrinkage,int_sd,0.07508913913800162
DGP1,25,15,Shrinkage,beta_p_bias,-0.17978341963316405
DGP1,25,15,Shrinkage,beta_p_sd,0.06881684302281671
DGP1,25,15,Shrinkage,beta_w_bias,0.023309763606782642
DGP1,25,15,Shrinkage,beta_w_sd,0.05000561383770009
DGP1,25,15,Shrinkage,sigma_bias,-0.015384615384615396
DGP1,25,15,Shrinkage,sigma_sd,0.1366063258441835
DGP1,25,15,Shrinkage,xi_bias_abs,0.1414362907480267
DGP1,25,15,Shrinkage,xi_sd,0.17807278941049315
DGP1,25,15,Shrinkage,prob_signal,0.9863286978202839
DGP1,25,15,Shrinkage,prob_noise,0.3461323807607059
DGP1,25,15,Shrinkage,fail_rate,0.0
