DGP,T,J,Method,Row,Int,beta_p,beta_w,sigma,xi_mean_abs_error,xi_sd_error,Prob_signal,Prob_noise,FailRate
DGP3,25,15,BLP+CostIV,Bias,0.13256921540740912,0.40345834581167583,0.00551198236471549,-1.3169045092838199,0.2729577063667562,0.3602640258268452,nan,nan,0.0
DGP3,25,15,BLP+CostIV,SD,0.1253059832438794,0.13012732502133081,0.0792393417358732,0.35002918656429566,,,,,0.0
DGP3,25,15,BLP-NoCostIV,Bias,0.1960155203057346,-0.5027860367282084,0.03134205936606648,-0.21799999999999997,0.48019420929142653,0.6001083264268084,nan,nan,0.0
DGP3,25,15,BLP-NoCostIV,SD,0.15063589782076772,1.217073144203931,0.10502854846509026,2.0481145801281073,,,,,0.0
DGP3,25,15,Shrinkage,Bias,-0.03929207845095336,-0.12697059733838975,0.09579719506016074,-0.05051282051282047,0.17154111078450246,0.16787570298575316,0.3015896000808293,nan,0.0
DGP3,25,15,Shrinkage,SD,0.17621636198746166,0.04737586632711473,0.12020270327017177,0.10633881427646948,,,,,0.0
