dgp,T,J,method,metric,value
DGP2,25,15,BLP+CostIV,int_bias,0.2299375929030399
DGP2,25,15,BLP+CostIV,int_sd,0.20942637715235518
DGP2,25,15,BLP+CostIV,beta_p_bias,0.34759963395488985
DGP2,25,15,BLP+CostIV,beta_p_sd,0.0648383626165031
DGP2,25,15,BLP+CostIV,beta_w_bias,-0.054635955285291436
DGP2,25,15,BLP+CostIV,beta_w_sd,0.1339019377609487
DGP2,25,15,BLP+CostIV,sigma_bias,-1.3617276746242264
DGP2,25,15,BLP+CostIV,sigma_sd,0.19922126695225256
DGP2,25,15,BLP+CostIV,xi_bias_abs,0.359708673658237
DGP2,25,15,BLP+CostIV,xi_sd,0.3962612993216653
DGP2,25,15,BLP+CostIV,prob_signal,nan
DGP2,25,15,BLP+CostIV,prob_noise,nan
DGP2,25,15,BLP+CostIV,fail_rate,0.0
DGP2,25,15,BLP-NoCostIV,int_bias,0.3029873884829497
DGP2,25,15,BLP-NoCostIV,int_sd,0.20927268108432612
DGP2,25,15,BLP-NoCostIV,beta_p_bias,-0.4821886580454645
DGP2,25,15,BLP-NoCostIV,beta_p_sd,1.110090077394921
DGP2,25,15,BLP-NoCostIV,beta_w_bias,-0.03247818486949029
DGP2,25,15,BLP-NoCostIV,beta_w_sd,0.1378291349047003
DGP2,25,15,BLP-NoCostIV,sigma_bias,-0.21799999999999997
DGP2,25,15,BLP-NoCostIV,sigma_sd,2.0481145801281073
DGP2,25,15,BLP-NoCostIV,xi_bias_abs,0.5685030036918566
DGP2,25,15,BLP-NoCostIV,xi_sd,0.6396015593691974
DGP2,25,15,BLP-NoCostIV,prob_signal,nan
DGP2,25,15,BLP-NoCostIV,prob_noise,nan
DGP2,25,15,BLP-NoCostIV,fail_rate,0.0
DGP2,25,15,Shrinkage,int_bias,0.07104536337898773
DGP2,25,15,Shrinkage,int_sd,0.08156221444982961
DGP2,25,15,Shrinkage,beta_p_bias,-0.162315303249981
DGP2,25,15,Shrinkage,beta_p_sd,0.04964821800437978
DGP2,25,15,Shrinkage,beta_w_bias,0.016059402966673315
DGP2,25,15,Shrinkage,beta_w_sd,0.05463793481516859
DGP2,25,15,Shrinkage,sigma_bias,-0.009134615384615352
DGP2,25,15,Shrinkage,sigma_sd,0.11036053293423041
DGP2,25,15,Shrinkage,xi_bias_abs,0.13094343337553632
DGP2,25,15,Shrinkage,xi_sd,0.15956689098903515
DGP2,25,15,Shrinkage,prob_signal,0.9919966787420051
DGP2,25,15,Shrinkage,prob_noise,0.35120234637051256
DGP2,25,15,Shrinkage,fail_rate,0.0
